Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KCMI,MaxPoP,2016-06-20,48,49,57,17,6,15,17,12,42,24,24
KCMI,MaxPoP,2016-06-21,35,34,45,30,49,47,32,58,10,48,45
KCMI,MaxPoP,2016-06-22,100,95,74,66,58,8,5,24,58,44,50
KCMI,MaxPoP,2016-06-23,15,48,45,31,20,58,14,12,24,58,58
KCMI,MaxPoP,2016-06-24,4,8,6,5,6,5,12,22,17,36,49
KCMI,MaxPoP,2016-06-25,3,15,13,45,8,15,24,4,24,17,24
KCMI,MaxPoP,2016-06-26,49,76,63,58,60,84,45,54,21,7,24
KCMI,MaxPoP,2016-06-27,15,15,6,4,11,15,58,32,24,24,8
KCMI,MaxPoP,2016-06-28,2,7,15,4,5,7,20,41,11,23,52
KCMI,MaxPoP,2016-06-29,0,1,1,1,4,1,12,22,13,38,58
KCMI,MaxPoP,2016-06-30,1,21,24,2,21,15,36,15,24,24,58
KCMI,MaxPoP,2016-07-01,24,11,24,43,41,53,18,12,24,14,46
KCMI,MaxPoP,2016-07-02,30,17,1,6,11,5,16,17,10,37,5
KCMI,MaxPoP,2016-07-03,99,100,97,85,98,40,7,17,10,58,36
KCMI,MaxPoP,2016-07-04,15,30,67,56,61,93,21,22,17,19,58
KCMI,MaxPoP,2016-07-05,3,10,9,9,15,19,43,19,57,55,24
KCMI,MaxPoP,2016-07-06,94,53,58,82,58,40,58,58,21,46,58
KCMI,MaxPoP,2016-07-07,91,71,45,49,62,58,58,58,58,41,58
KCMI,MaxPoP,2016-07-08,15,15,59,43,49,58,58,55,58,33,58
KCMI,MaxPoP,2016-07-09,0,3,3,5,5,8,24,39,24,58,42
KCMI,MaxPoP,2016-07-10,0,1,2,3,5,6,15,18,22,48,57
KCMI,MaxPoP,2016-07-11,0,15,15,3,7,13,21,18,21,24,45
KCMI,MaxPoP,2016-07-12,47,43,24,42,38,58,58,58,34,58,49
KCMI,MaxPoP,2016-07-13,99,84,41,58,39,58,35,58,46,48,58
KCMI,MaxPoP,2016-07-14,15,17,63,41,58,56,58,58,34,52,40
KCMI,MaxPoP,2016-07-15,1,5,11,15,15,34,24,24,58,33,43
KCMI,MaxPoP,2016-07-16,8,2,4,5,15,18,34,58,58,46,57
KCMI,MaxPoP,2016-07-17,85,33,49,48,34,58,24,58,55,58,50
KCMI,MaxPoP,2016-07-18,94,39,54,58,58,58,58,58,58,40,43
KCMI,MaxPoP,2016-07-19,46,15,38,15,9,46,58,58,58,58,54
KCMI,MaxPoP,2016-07-20,15,46,43,45,15,2,6,8,16,58,54
KCMI,MaxPoP,2016-07-21,24,38,24,41,42,58,54,17,12,4,24
KCMI,MaxPoP,2016-07-22,99,100,48,24,4,6,3,2,3,11,5
KCMI,MaxPoP,2016-07-23,40,48,48,47,53,55,1,12,24,3,3
KCMI,MaxPoP,2016-07-24,15,48,49,58,45,33,58,14,11,56,4
KCMI,MaxPoP,2016-07-25,99,89,70,58,47,32,24,58,24,50,56
KCMI,MaxPoP,2016-07-26,2,7,8,8,6,11,12,11,14,24,53
KCMI,MaxPoP,2016-07-27,15,21,15,7,15,58,7,19,33,33,58
KCMI,MaxPoP,2016-07-28,35,63,58,77,58,58,58,58,44,58,51
KCMI,MaxPoP,2016-07-29,15,18,45,58,86,58,58,38,58,58,58
KCMI,MaxPoP,2016-07-30,15,33,39,44,38,15,37,36,42,39,38
KCMI,MaxPoP,2016-07-31,18,21,15,15,21,24,23,34,58,48,58
KCMI,MaxPoP,2016-08-01,15,49,35,56,40,37,30,23,22,45,33
KCMI,MaxPoP,2016-08-02,15,16,42,58,58,58,58,24,57,24,24
KCMI,MaxPoP,2016-08-03,15,39,35,58,58,58,58,58,56,58,24
KCMI,MaxPoP,2016-08-04,15,9,12,22,58,58,24,38,24,57,58
KCMI,MaxPoP,2016-08-05,73,58,58,48,58,58,58,58,58,16,37
KCMI,MaxPoP,2016-08-06,1,11,9,10,10,58,58,44,47,58,24
KCMI,MaxPoP,2016-08-07,6,5,8,15,5,15,22,24,32,24,15
KCMI,MaxPoP,2016-08-08,8,12,7,6,38,15,33,40,35,38,36
KCMI,MaxPoP,2016-08-09,15,5,6,6,20,18,15,39,31,58,58
KCMI,MaxPoP,2016-08-10,15,17,67,8,15,30,57,31,23,58,40
KCMI,MaxPoP,2016-08-11,22,33,34,33,24,57,38,58,58,24,58
KCMI,MaxPoP,2016-08-12,97,74,60,96,88,58,58,58,58,58,47
KCMI,MaxPoP,2016-08-13,96,93,74,89,96,93,58,58,58,58,48
KCMI,MaxPoP,2016-08-14,33,16,10,24,21,66,31,15,20,58,58
KCMI,MaxPoP,2016-08-15,100,100,98,94,58,42,70,11,12,31,57
KCMI,MaxPoP,2016-08-16,89,71,67,93,99,58,43,24,7,16,10
KCMI,MaxPoP,2016-08-17,24,40,31,43,30,40,34,17,24,16,32
