dest_ip,dest_port,highest_layer,length,timestamp
10.0.2.2,55595,SSH,90,1521397331.14634
10.0.2.15,22,SSH,90,1521397331.273432
10.0.2.2,55595,SSH,90,1521397331.273606
10.0.2.15,22,SSH,90,1521397331.376111
10.0.2.2,55595,SSH,90,1521397331.37632
10.0.2.15,22,SSH,90,1521397331.465468
10.0.2.2,55595,SSH,90,1521397331.465639
10.0.2.15,22,SSH,90,1521397331.513391
10.0.2.2,55595,SSH,90,1521397331.513557
10.0.2.15,22,SSH,90,1521397331.613908
10.0.2.2,55595,SSH,90,1521397331.614726
10.0.2.2,55595,SSH,98,1521397331.715078
10.0.2.2,55595,SSH,90,1521397331.719561
91.189.91.26,80,HTTP,271,1521397331.802502
91.189.91.26,80,HTTP,264,1521397331.803164
10.0.2.2,55595,SSH,90,1521397331.844573
10.0.2.2,55595,SSH,146,1521397331.845152
10.0.2.2,55595,SSH,122,1521397331.845752
10.0.2.15,50020,HTTP,265,1521397331.846847
91.189.91.26,80,HTTP,272,1521397331.849114
10.0.2.2,55595,SSH,90,1521397331.849739
10.0.2.2,55595,SSH,98,1521397331.921073
10.0.2.2,55595,SSH,106,1521397331.921702
10.0.2.2,55595,SSH,90,1521397331.921981
10.0.2.2,55595,SSH,138,1521397331.922367
195.135.221.134,80,HTTP,234,1521397331.927054
10.0.2.2,55595,SSH,114,1521397331.943521
10.0.2.2,55595,SSH,90,1521397331.946888
10.0.2.15,50018,HTTP,1135,1521397331.967284
10.0.2.2,55595,SSH,90,1521397331.973815
10.0.2.2,55595,SSH,90,1521397331.974475
10.0.2.15,50020,HTTP,1118,1521397332.022846
91.189.91.26,80,HTTP,274,1521397332.02813
10.0.2.2,55595,SSH,90,1521397332.032012
10.0.2.2,55595,SSH,90,1521397332.035982
10.0.2.15,54374,XML,63,1521397332.058434
10.0.2.2,55595,SSH,90,1521397332.058905
10.0.2.2,55595,SSH,162,1521397332.059368
195.135.221.134,80,HTTP,282,1521397332.059738
10.0.2.2,55595,SSH,90,1521397332.068034
10.0.2.2,55595,SSH,122,1521397332.068384
10.0.2.15,50020,HTTP,1166,1521397332.117595
10.0.2.2,55595,SSH,90,1521397332.125093
10.0.2.2,55595,SSH,90,1521397332.125305
10.0.2.2,55595,SSH,90,1521397332.125709
10.0.2.15,54374,HTTP,183,1521397332.183586
10.0.2.2,55595,SSH,90,1521397332.183914
10.0.2.2,55595,SSH,98,1521397332.184201
10.0.2.2,55595,SSH,98,1521397332.184507
54.193.126.242,443,SSL,324,1521397332.431884
52.85.112.16,443,SSL,329,1521397332.433507
23.23.109.100,443,SSL,330,1521397332.439988
